(18, -19), (22, -23), (24, -24), 
(12, -7), (17, 2), (17, -1), 
(4, -2), (5, -3), (6, -3), 
(20, -21), (23, -23), (24, -24), 
(14, -7), (18, 3), (19, -2), 
(5, -3), (7, -4), (8, -3), 
(19, -20), (23, -23), (24, -23), 
(12, -5), (17, 4), (18, 0), 
(5, -1), (6, -3), (7, -2), 
(20, -22), (24, -24), (24, -24), 
(12, -6), (16, 3), (17, -2), 
(4, -3), (5, -4), (6, -3), 
(21, -22), (24, -23), (25, -24), 
(13, -4), (17, 3), (18, -1), 
(5, -2), (6, -4), (7, -3), 
(20, -21), (24, -22), (24, -23), 
(12, -3), (16, 4), (17, 0), 
(4, -1), (6, -3), (7, -2), 
(20, -22), (24, -23), (24, -23), 
(10, -5), (14, 2), (16, -1), 
(4, -2), (5, -3), (6, -3), 
(20, -22), (25, -22), (24, -23), 
(10, -5), (14, 2), (16, -1), 
(4, -2), (4, -3), (6, -3), 
(21, -21), (25, -21), (24, -22), 
(11, -3), (14, 4), (16, 2), 
(4, -1), (5, -3), (6, -1), 
(21, -22), (25, -22), (24, -23), 
(10, -4), (13, 2), (15, -1), 
(4, -2), (4, -3), (6, -2), 
(21, -22), (25, -22), (24, -23), 
(10, -5), (13, 2), (16, -1), 
(4, -1), (4, -3), (6, -2), 
(21, -21), (26, -21), (25, -21), 
(10, -4), (13, 3), (15, 1), 
(4, 0), (5, -2), (6, -1), 
(21, -22), (26, -22), (24, -21), 
(11, -5), (14, 2), (17, 0), 
(5, -1), (6, -3), (7, -2), 
(20, -20), (25, -22), (24, -21), 
(11, -5), (15, 4), (17, 2), 
(5, -1), (6, -3), (7, -2), 
(20, -21), (25, -23), (24, -21), 
(12, -5), (15, 4), (17, 2), 
(5, -2), (6, -3), (7, -2), 
(20, -21), (25, -22), (24, -22), 
(12, -4), (15, 4), (17, 1), 
(5, -1), (6, -3), (7, -2), 
(20, -23), (24, -23), (24, -24), 
(11, -3), (15, 3), (16, -1), 
(4, -2), (5, -4), (6, -3), 
(21, -22), (24, -23), (24, -23), 
(12, -3), (16, 3), (17, -1), 
(4, -2), (5, -3), (7, -2), 
(21, -22), (24, -22), (24, -23), 
(12, -3), (17, 4), (17, 0), 
(4, -1), (7, -3), (7, -2), 
(21, -23), (24, -23), (24, -24), 
(12, -4), (16, 3), (17, -2), 
(4, -3), (5, -4), (6, -2), 
(21, -23), (24, -23), (25, -25), 
(13, -2), (17, 3), (18, -2), 
(5, -3), (7, -3), (7, -2), 
(21, -23), (24, -23), (24, -25), 
(12, -2), (16, 2), (16, -3), 
(4, -3), (5, -4), (6, -2), 
(20, -22), (24, -21), (24, -24), 
(10, -1), (15, 4), (15, -1), 
(4, -2), (5, -3), (5, -1), 
(22, -23), (25, -22), (25, -24), 
(12, -2), (17, 3), (17, -2), 
(5, -2), (7, -3), (7, -2), 
(21, -22), (24, -22), (24, -24), 
(11, -1), (15, 3), (16, -1), 
(3, -1), (4, -3), (5, -1), 
(21, -22), (24, -22), (24, -24), 
(11, -1), (15, 3), (15, -1), 
(3, -1), (5, -3), (5, -1), 
(22, -23), (25, -21), (24, -23), 
(11, -1), (16, 4), (16, 0), 
(4, -1), (6, -3), (7, -1), 
(22, -23), (25, -22), (25, -24), 
(12, -2), (16, 2), (17, -2), 
(5, -2), (6, -3), (7, -2), 
(22, -22), (25, -21), (25, -24), 
(11, -1), (15, 4), (17, -1), 
(4, -1), (6, -3), (7, -1), 
(21, -22), (24, -22), (25, -24), 
(12, -1), (16, 4), (17, -1), 
(5, -2), (6, -3), (7, -1), 
(22, -23), (24, -22), (25, -24), 
(12, -2), (17, 3), (17, -2), 
(5, -2), (7, -3), (7, -2), 
(21, -22), (24, -21), (25, -24), 
(12, -1), (16, 4), (16, -1), 
(5, -1), (6, -3), (7, -1), 
(20, -23), (24, -23), (24, -24), 
(11, -2), (15, 3), (16, -2), 
(3, -2), (5, -3), (5, -2), 
(20, -22), (23, -22), (24, -24), 
(11, -3), (16, 4), (16, -1), 
(4, -1), (5, -3), (5, -1), 
(21, -22), (24, -22), (24, -23), 
(13, -3), (17, 4), (17, -1), 
(5, -2), (6, -3), (7, -2), 
(21, -23), (24, -23), (24, -24), 
(13, -3), (18, 3), (18, -2), 
(5, -3), (7, -4), (7, -2), 
(20, -22), (23, -22), (24, -24), 
(12, -2), (16, 4), (16, -1), 
(4, -2), (5, -3), (5, -1), 
(21, -23), (24, -22), (24, -24), 
(13, -2), (18, 3), (18, -2), 
(5, -2), (7, -4), (7, -2), 
(21, -22), (23, -22), (24, -24), 
(13, -2), (18, 4), (18, -1), 
(5, -2), (7, -3), (7, -1), 
(21, -23), (24, -23), (24, -24), 
(13, -4), (18, 3), (18, -2), 
(5, -3), (7, -4), (7, -2), 
(21, -23), (24, -23), (24, -23), 
(13, -3), (17, 4), (17, 0), 
(5, -2), (6, -3), (6, -1), 
(22, -23), (24, -23), (24, -24), 
(13, -3), (17, 3), (18, -2), 
(5, -2), (7, -4), (7, -2), 
(22, -23), (24, -22), (24, -24), 
(12, -1), (16, 4), (16, -1), 
(5, -1), (6, -3), (6, -1), 
(22, -24), (24, -22), (24, -24), 
(11, -1), (16, 2), (16, -3), 
(4, -2), (5, -4), (5, -2), 
(22, -24), (25, -22), (25, -24), 
(12, -1), (16, 2), (17, -2), 
(5, -2), (6, -3), (7, -1), 
(22, -24), (25, -22), (24, -24), 
(12, -2), (17, 3), (17, -2), 
(5, -2), (7, -3), (7, -2), 
(22, -24), (24, -22), (24, -24), 
(12, -2), (17, 3), (17, -2), 
(5, -2), (6, -3), (7, -1), 
(22, -24), (25, -22), (24, -23), 
(12, -2), (16, 3), (17, -2), 
(5, -2), (6, -3), (7, -2), 
(21, -23), (24, -22), (23, -23), 
(10, -2), (15, 4), (16, 0), 
(4, -1), (5, -3), (5, -1), 
(22, -24), (24, -23), (23, -23), 
(11, -3), (16, 2), (17, -2), 
(4, -2), (5, -4), (5, -2), 
(22, -24), (25, -23), (24, -23), 
(12, -2), (17, 3), (17, -2), 
(5, -2), (7, -4), (7, -1), 
(21, -24), (24, -23), (23, -23), 
(11, -2), (16, 4), (16, -1), 
(3, -2), (5, -3), (5, -1), 
(22, -24), (24, -24), (24, -23), 
(13, -3), (18, 3), (18, -2), 
(5, -2), (7, -4), (7, -2), 
(21, -23), (23, -23), (23, -23), 
(12, -3), (17, 4), (17, -1), 
(4, -2), (5, -4), (5, -2), 
(21, -23), (23, -24), (24, -23), 
(15, -5), (20, 3), (19, -3), 
(5, -3), (7, -4), (7, -2), 
